Type,Campaign,Campaign status,Budget,Budget type,Campaign type,Networks,Location,Language,Bid strategy,Max CPC,Final URL,Notes,Ad group,Ad group status,Keyword,Match type,Status,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Description 1,Description 2
Campaign,HIH_202606_Search_Brand_Map,Paused,43,Daily,Search,Google search;Search partners,臺南市,繁體中文（台灣）,Maximize clicks,20,https://shop.ichefpos.com/store/nNLhMqsW/ordering,後台實測使用官方 iCHEF 點餐頁較穩定；Google Maps 連結保留作為 sitelink/導航素材，避免搜尋廣告主網址驗證卡住。,,,,,,,,,,,,,,,
Ad group,HIH_202606_Search_Brand_Map,,,,,,,,,,https://shop.ichefpos.com/store/nNLhMqsW/ordering,,Brand_Search,Paused,,,,,,,,,,,,,
Keyword,HIH_202606_Search_Brand_Map,,,,,,,,,,,,Brand_Search,,韓食日常,PHRASE,Paused,,,,,,,,,,
Keyword,HIH_202606_Search_Brand_Map,,,,,,,,,,,,Brand_Search,,韓食日常,EXACT,Paused,,,,,,,,,,
Keyword,HIH_202606_Search_Brand_Map,,,,,,,,,,,,Brand_Search,,韓食日常鍋物,PHRASE,Paused,,,,,,,,,,
Keyword,HIH_202606_Search_Brand_Map,,,,,,,,,,,,Brand_Search,,韓食日常鍋物,EXACT,Paused,,,,,,,,,,
Keyword,HIH_202606_Search_Brand_Map,,,,,,,,,,,,Brand_Search,,韓食日常文南店,PHRASE,Paused,,,,,,,,,,
Keyword,HIH_202606_Search_Brand_Map,,,,,,,,,,,,Brand_Search,,韓食日常文南店,EXACT,Paused,,,,,,,,,,
Keyword,HIH_202606_Search_Brand_Map,,,,,,,,,,,,Brand_Search,,Hansik Ilsang,PHRASE,Paused,,,,,,,,,,
Keyword,HIH_202606_Search_Brand_Map,,,,,,,,,,,,Brand_Search,,韓食日常 Uber Eats,PHRASE,Paused,,,,,,,,,,
Responsive search ad,HIH_202606_Search_Brand_Map,,,,,,,,,,https://shop.ichefpos.com/store/nNLhMqsW/ordering,,Brand_Search,,,,Paused,opening,hansik,韓食日常鍋物開幕慶,點鍋物送手工料,韓食日常文南店,導航前往韓食日常,Uber Eats看韓食日常,6月開幕慶進行中,韓食日常鍋物文南店6/1至6/30開幕慶，點鍋物隨鍋送手工料。,想吃韓式鍋物可查看菜單、導航前往，或搜尋Uber Eats韓食日常。
Campaign,HIH_202606_Search_Local_KoreanHotpot,Paused,71,Daily,Search,Google search;Search partners,臺南市,繁體中文（台灣）,Maximize clicks,20,https://shop.ichefpos.com/store/nNLhMqsW/ordering,附近韓式鍋物搜尋先導到官方菜單頁；Google Maps 導航作為 sitelink，降低主網址政策與追蹤風險。,,,,,,,,,,,,,,,
Ad group,HIH_202606_Search_Local_KoreanHotpot,,,,,,,,,,https://shop.ichefpos.com/store/nNLhMqsW/ordering,,Local_KoreanHotpot,Paused,,,,,,,,,,,,,
Keyword,HIH_202606_Search_Local_KoreanHotpot,,,,,,,,,,,,Local_KoreanHotpot,,附近韓式料理,PHRASE,Paused,,,,,,,,,,
Keyword,HIH_202606_Search_Local_KoreanHotpot,,,,,,,,,,,,Local_KoreanHotpot,,附近韓式鍋物,PHRASE,Paused,,,,,,,,,,
Keyword,HIH_202606_Search_Local_KoreanHotpot,,,,,,,,,,,,Local_KoreanHotpot,,韓式火鍋,PHRASE,Paused,,,,,,,,,,
Keyword,HIH_202606_Search_Local_KoreanHotpot,,,,,,,,,,,,Local_KoreanHotpot,,韓式料理,PHRASE,Paused,,,,,,,,,,
Keyword,HIH_202606_Search_Local_KoreanHotpot,,,,,,,,,,,,Local_KoreanHotpot,,泡菜鍋,PHRASE,Paused,,,,,,,,,,
Keyword,HIH_202606_Search_Local_KoreanHotpot,,,,,,,,,,,,Local_KoreanHotpot,,大醬湯,PHRASE,Paused,,,,,,,,,,
Keyword,HIH_202606_Search_Local_KoreanHotpot,,,,,,,,,,,,Local_KoreanHotpot,,韓式湯飯,PHRASE,Paused,,,,,,,,,,
Keyword,HIH_202606_Search_Local_KoreanHotpot,,,,,,,,,,,,Local_KoreanHotpot,,海鮮豆腐湯,PHRASE,Paused,,,,,,,,,,
Keyword,HIH_202606_Search_Local_KoreanHotpot,,,,,,,,,,,,Local_KoreanHotpot,,馬鈴薯排骨湯,PHRASE,Paused,,,,,,,,,,
Responsive search ad,HIH_202606_Search_Local_KoreanHotpot,,,,,,,,,,https://shop.ichefpos.com/store/nNLhMqsW/ordering,,Local_KoreanHotpot,,,,Paused,korean,hotpot,韓式鍋物新選擇,今天晚餐來一鍋,泡菜鍋與大醬湯,附近韓式鍋物,平日也能吃韓食,文南店開幕慶,想吃韓式鍋物、泡菜鍋、大醬湯或韓式湯飯？韓食日常鍋物文南店開幕慶進行中。,文南店6月開幕慶進行中，點鍋物隨鍋送手工料，適合午餐晚餐到店享用。
